[u'https://www.daraz.pk/shopping-at-craze/?q=samsung', u'Shopping At Craze']
[u'https://www.daraz.pk/unique-enterprises/?q=samsung', u'Unique Enterprises']
[u'https://www.daraz.pk/uniden/?q=samsung', u'Uniden']
[u'https://www.daraz.pk/solo/?q=samsung', u'Solo']
[u'https://www.daraz.pk/click-here/?q=samsung', u'Click Here']
[u'https://www.daraz.pk/philips/?q=samsung', u'Philips']
[u'https://www.daraz.pk/pk-bazaar/?q=samsung', u'PK Bazaar']
[u'https://www.daraz.pk/inv/?q=samsung', u'Inv']
[u'https://www.daraz.pk/hp/?q=samsung', u'HP']
[u'https://www.daraz.pk/umar-express/?q=samsung', u'Umar Express']
[u'https://www.daraz.pk/vorson/?q=samsung', u'vorson']
[u'https://www.daraz.pk/lion/?q=samsung', u'Lion']
[u'https://www.daraz.pk/harman-kardon/?q=samsung', u'Harman Kardon']
[u'https://www.daraz.pk/pny/?q=samsung', u'PNY']
[u'https://www.daraz.pk/tp-link/?q=samsung', u'TP-Link']
[u'https://www.daraz.pk/abbott/?q=samsung', u'Abbott']
[u'https://www.daraz.pk/pineng/?q=samsung', u'Pineng']
[u'https://www.daraz.pk/gnc/?q=samsung', u'Gnc']
[u'https://www.daraz.pk/interlink/?q=samsung', u'Interlink']
[u'https://www.daraz.pk/beevo/?q=samsung', u'Beevo']
[u'https://www.daraz.pk/totu/?q=samsung', u'Totu']
[u'https://www.daraz.pk/rizclick/?q=samsung', u'RizClick']
[u'https://www.daraz.pk/natural-factors/?q=samsung', u'Natural Factors']
[u'https://www.daraz.pk/i-flash/?q=samsung', u'I-flash']
[u'https://www.daraz.pk/adot-technologies/?q=samsung', u'Adot-Technologies']
[u'https://www.daraz.pk/one-hundred-ten/?q=samsung', u'One Hundred Ten']
[u'https://www.daraz.pk/urbanista/?q=samsung', u'Urbanista']
[u'https://www.daraz.pk/teinuro/?q=samsung', u'Teinuro']
[u'https://www.daraz.pk/digit/?q=samsung', u'Digit']
[u'https://www.daraz.pk/thumbz-up/?q=samsung', u'Thumbz Up']
[u'https://www.daraz.pk/tool-shop/?q=samsung', u'Tool Shop']
[u'https://www.daraz.pk/a-n-electronics/?q=samsung', u'A N Electronics']
[u'https://www.daraz.pk/buy-buy/?q=samsung', u'Buy & Buy']
[u'https://www.daraz.pk/shop-inbox/?q=samsung', u'Shop Inbox']
[u'https://www.daraz.pk/sofia-mart/?q=samsung', u'Sofia Mart']
[u'https://www.daraz.pk/bindas-collection/?q=samsung', u'Bindas Collection']
[u'https://www.daraz.pk/maga-shop/?q=samsung', u'Maga Shop']
[u'https://www.daraz.pk/oppo/?q=samsung', u'Oppo']
[u'https://www.daraz.pk/qumo/?q=samsung', u'Qumo']
[u'https://www.daraz.pk/vivo/?q=samsung', u'VIVO']
[u'https://www.daraz.pk/riversong/?q=samsung', u'Riversong']
[u'https://www.daraz.pk/variety-master/?q=samsung', u'Variety Master']
[u'https://www.daraz.pk/sigma/?q=samsung', u'SIGMA']
[u'https://www.daraz.pk/creative/?q=samsung', u'Creative']
[u'https://www.daraz.pk/elite1/?q=samsung', u'E-lite']
[u'https://www.daraz.pk/funky-jewellery/?q=samsung', u'Funky Jewellery']
[u'https://www.daraz.pk/perfect/?q=samsung', u'Perfect']
[u'https://www.daraz.pk/ke/?q=samsung', u'KE']
[u'https://www.daraz.pk/altec-lansing/?q=samsung', u'Altec Lansing']
